Date,Pageviews,Clicks,AddToCart,Checkout,Orders,Revenue
01-01-2023,5000,4000,800,400,200,"$10,000"
02-01-2023,5200,4200,820,410,210,"$10,500"
03-01-2023,5100,4100,800,390,200,"$10,200"
04-01-2023,5300,4300,830,420,215,"$10,800"
05-01-2023,5400,4400,850,430,220,"$11,000"
06-01-2023,5500,4500,870,440,225,"$11,500"
07-01-2023,5600,4600,880,450,230,"$11,800"
08-01-2023,5700,4700,890,460,235,"$12,000"
09-01-2023,5800,4800,910,470,240,"$12,200"
10-01-2023,5900,4900,930,480,245,"$12,500"
11-01-2023,6000,5000,950,490,250,"$13,000"
12-01-2023,6100,5100,970,500,255,"$13,200"
13-01-2023,6200,5200,990,510,260,"$13,500"
14-01-2023,6300,5300,1010,520,265,"$13,800"
15-01-2023,6400,5400,1030,530,270,"$14,000"
16-01-2023,6500,5500,1050,540,275,"$14,200"
17-01-2023,6600,5600,1070,550,280,"$14,500"
18-01-2023,6700,5700,1090,560,285,"$14,800"
19-01-2023,6800,5800,1110,570,290,"$15,000"
20-01-2023,6900,5900,1130,580,295,"$15,200"
01-02-2023,7500,6000,1200,600,300,"$15,000"
02-02-2023,7600,6100,1220,610,310,"$15,300"
03-02-2023,7700,6200,1240,620,315,"$15,600"
04-02-2023,7800,6300,1260,630,320,"$15,900"
05-02-2023,7900,6400,1280,640,325,"$16,200"
06-02-2023,8000,6500,1300,650,330,"$16,500"
07-02-2023,8100,6600,1320,660,335,"$16,800"
08-02-2023,8200,6700,1340,670,340,"$17,100"
09-02-2023,8300,6800,1360,680,345,"$17,400"
10-02-2023,8400,6900,1380,690,350,"$17,700"
11-02-2023,8500,7000,1400,700,355,"$18,000"
12-02-2023,8600,7100,1420,710,360,"$18,300"
13-02-2023,8700,7200,1440,720,365,"$18,600"
14-02-2023,8800,7300,1460,730,370,"$18,900"
15-02-2023,8900,7400,1480,740,375,"$19,200"
16-02-2023,9000,7500,1500,750,380,"$19,500"
17-02-2023,9100,7600,1520,760,385,"$19,800"
18-02-2023,9200,7700,1540,770,390,"$20,100"
19-02-2023,9300,7800,1560,780,395,"$20,400"
20-02-2023,9400,7900,1580,790,400,"$20,700"
21-02-2023,9500,8000,1600,800,405,"$21,000"
22-02-2023,9600,8100,1620,810,410,"$21,300"
23-02-2023,9700,8200,1640,820,415,"$21,600"
24-02-2023,9800,8300,1660,830,420,"$21,900"
25-02-2023,9900,8400,1680,840,425,"$22,200"
26-02-2023,10000,8500,1700,850,430,"$22,500"
27-02-2023,10100,8600,1720,860,435,"$22,800"
28-02-2023,10200,8700,1740,870,440,"$23,100"
2023-02-29,10300,8800,1760,880,445,"$23,400"
2023-02-30,10400,8900,1780,890,450,"$23,700"
01-03-2023,10500,9000,1800,900,455,"$24,000"
02-03-2023,10600,9100,1820,910,460,"$24,300"
03-03-2023,10700,9200,1840,920,465,"$24,600"
04-03-2023,10800,9300,1860,930,470,"$24,900"
05-03-2023,10900,9400,1880,940,475,"$25,200"
06-03-2023,11000,9500,1900,950,480,"$25,500"
07-03-2023,11100,9600,1920,960,485,"$25,800"
08-03-2023,11200,9700,1940,970,490,"$26,100"
09-03-2023,11300,9800,1960,980,495,"$26,400"
10-03-2023,11400,9900,1980,990,500,"$26,700"
11-03-2023,11500,10000,2000,1000,505,"$27,000"
12-03-2023,11600,10100,2020,1010,510,"$27,300"
13-03-2023,11700,10200,2040,1020,515,"$27,600"
14-03-2023,11800,10300,2060,1030,520,"$27,900"
15-03-2023,11900,10400,2080,1040,525,"$28,200"
16-03-2023,12000,10500,2100,1050,530,"$28,500"
17-03-2023,12100,10600,2120,1060,535,"$28,800"
18-03-2023,12200,10700,2140,1070,540,"$29,100"
19-03-2023,12300,10800,2160,1080,545,"$29,400"
20-03-2023,12400,10900,2180,1090,550,"$29,700"
21-03-2023,12500,11000,2200,1100,555,"$30,000"
22-03-2023,12600,11100,2220,1110,560,"$30,300"
23-03-2023,12700,11200,2240,1120,565,"$30,600"
24-03-2023,12800,11300,2260,1130,570,"$30,900"
25-03-2023,12900,11400,2280,1140,575,"$31,200"
26-03-2023,13000,11500,2300,1150,580,"$31,500"
27-03-2023,13100,11600,2320,1160,585,"$31,800"
28-03-2023,13200,11700,2340,1170,590,"$32,100"
29-03-2023,13300,11800,2360,1180,595,"$32,400"
30-03-2023,13400,11900,2380,1190,600,"$32,700"
01-04-2023,13500,12000,2400,1200,605,"$33,000"
02-04-2023,13600,12100,2420,1210,610,"$33,300"
03-04-2023,13700,12200,2440,1220,615,"$33,600"
04-04-2023,13800,12300,2460,1230,620,"$33,900"
05-04-2023,13900,12400,2480,1240,625,"$34,200"
06-04-2023,14000,12500,2500,1250,630,"$34,500"
07-04-2023,14100,12600,2520,1260,635,"$34,800"
08-04-2023,14200,12700,2540,1270,640,"$35,100"
09-04-2023,14300,12800,2560,1280,645,"$35,400"
10-04-2023,14400,12900,2580,1290,650,"$35,700"
11-04-2023,14500,13000,2600,1300,655,"$36,000"
12-04-2023,14600,13100,2620,1310,660,"$36,300"
13-04-2023,14700,13200,2640,1320,665,"$36,600"
14-04-2023,14800,13300,2660,1330,670,"$36,900"
15-04-2023,14900,13400,2680,1340,675,"$37,200"
16-04-2023,15000,13500,2700,1350,680,"$37,500"
17-04-2023,15100,13600,2720,1360,685,"$37,800"
18-04-2023,15200,13700,2740,1370,690,"$38,100"
19-04-2023,15300,13800,2760,1380,695,"$38,400"
20-04-2023,15400,13900,2780,1390,700,"$38,700"
